Techstack,Links
"React, Node.js, MongoDB",https://helfertech/portfolio/react-portfolio
"Angular,.NET, SQL Server",https://helfertech/portfolio/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://helfertech/portfolio/vue-portfolio
"Python, Django, MySQL",https://helfertech/portfolio/python-portfolio
"Java, Spring Boot, Oracle",https://helfertech/portfolio/java-portfolio
"Flutter, Firebase, GraphQL",https://helfertech/portfolio/flutter-portfolio
"WordPress, PHP, MySQL",https://helfertech/portfolio/wordpress-portfolio
"Magento, PHP, MySQL",https://helfertech/portfolio/magento-portfolio
"React Native, Node.js, MongoDB",https://helfertech/portfolio/react-native-portfolio
"iOS, Swift, Core Data",https://helfertech/portfolio/ios-portfolio
"Android, Java, Room Persistence",https://helfertech/portfolio/android-portfolio
"Kotlin, Android, Firebase",https://helfertech/portfolio/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://helfertech/portfolio/android-tv-portfolio
"iOS, Swift, ARKit",https://helfertech/portfolio/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://helfertech/portfolio/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://helfertech/portfolio/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://helfertech/portfolio/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://helfertech/portfolio/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://helfertech/portfolio/ml-python-portfolio
"DevOps, Jenkins, Docker",https://helfertech/portfolio/devops-portfolio
